"","year","day","solarR","Tmax","Tmin","Tavg","RHmax","RHmin","RHavg","WS","precip"
"1",2003,1,4.33619999999999,-7.59000000000003,-8.96000000000004,-11.77,1,0.43,0.850625,8.00856765761253,0.00112676940000004
"2",2003,2,1.63781999999999,2.57999999999998,1.71999999999997,-0.547500000000014,1,0.78,0.905,17.5612377293153,0.2162759454
"3",2003,3,1.91429999999999,3.19999999999993,2.22999999999996,0.598124999999982,1,0.82,0.94625,7.0664005227391,0.1800492462
"4",2003,4,2.41541999999999,0.829999999999984,-0.270000000000039,-4.58625000000006,1,0.82,0.9275,4.64973614088418,0.0655652232000001
"5",2003,5,4.35131999999999,-7.88,-10.39,-13.446875,1,0.58,0.8325,2.33902243822007,0.000318897000000042
"6",2003,6,4.39073999999999,-11.0700000000001,-12.64,-18.565,1,0.84,0.96,2.6078383506963,0.00323148960000008
"7",2003,7,3.83669999999999,-12.6,-13.61,-18.04,1,0.42,0.825,9.46160854136783,0.00399684239999996
"8",2003,8,3.79025999999999,-13.27,-15.04,-20.13,0.97,0.4,0.733125,3.27435759864838,0.000361416600000066
"9",2003,9,4.69043999999999,-11.86,-13.3100000000001,-18.4075000000001,1,0.62,0.873125,1.36178436407333,8.50392000000482e-05
"10",2003,10,4.07645999999999,-5.59000000000003,-6.40000000000003,-10.874375,1,0.64,0.925625,6.65873387522511,0.0193676778
"11",2003,11,4.87673999999999,-7.99000000000001,-10.11,-14.1743750000001,1,0.51,0.8275,4.11464121427739,0.00121180859999999
"12",2003,12,3.58667999999999,-0.0800000000000409,-0.550000000000068,-6.50437500000004,1,0.75,0.8975,12.3685116472478,0.038905434
"13",2003,13,3.21137999999999,-0.160000000000025,-0.360000000000014,-1.77500000000003,1,0.81,0.94125,14.5052260611416,0.1178005518
"14",2003,14,3.17627999999999,3.61000000000001,1.36000000000001,0.299999999999955,0.96,0.82,0.9,15.7736422037993,0.1109974158
"15",2003,15,2.72429999999999,4.08999999999997,2.94999999999993,1.50812499999995,0.97,0.81,0.8725,15.2889956492326,0.1250926632
"16",2003,16,4.55921999999999,1.58999999999997,0.92999999999995,-0.100000000000023,0.94,0.8,0.884375,13.5570616968746,0.0438164478000001
"17",2003,17,4.95071999999999,2.76999999999998,0.949999999999932,0.394374999999968,0.93,0.84,0.884375,9.08853478201936,0.00625038120000013
"18",2003,18,5.14565999999999,2.11000000000001,0.759999999999991,-0.560625000000016,0.99,0.73,0.87625,9.1860168263099,0.00418818060000002
"19",2003,19,5.10299999999999,0.620000000000005,-1.08000000000004,-1.87875000000003,1,0.87,0.944375,4.73247928440391,0.00533620980000003
"20",2003,20,5.25203999999999,1.12,0.0199999999999818,-1.78875000000005,1,0.74,0.90375,8.64990726096964,0.00280629360000002
"21",2003,21,5.07977999999999,2.38999999999999,0.669999999999959,-1.00187500000004,1,0.79,0.93375,13.0671644457903,0.0347172534000002
"22",2003,22,3.40469999999999,2.75,2.5,1.02499999999998,0.99,0.78,0.89875,13.0554038722377,0.0152857962000001
"23",2003,23,3.17789999999999,3.43999999999994,1.88,1.13312499999995,1,0.82,0.933125,4.89162925335316,0.0574227198000002
"24",2003,24,3.24755999999999,3,1.27999999999997,0.602499999999964,1,0.91,0.95875,3.23968581453381,0.0193251582000001
"25",2003,25,5.62625999999999,3.03999999999996,0.0599999999999454,-1.09937500000001,1,0.83,0.938125,2.94129433787487,0.00395432280000003
"26",2003,26,6.07283999999999,2.06999999999994,-0.0400000000000205,-0.893124999999998,1,0.85,0.934375,6.91970793845818,0.00348660719999995
"27",2003,27,4.53761999999999,6.13999999999999,4.65999999999997,1.72874999999999,0.99,0.84,0.92375,11.7105817612827,0.0593573616000002
"28",2003,28,3.57641999999999,7.02999999999997,6.03999999999996,3.62812499999995,0.95,0.8,0.874375,17.3961196690554,0.1170989784
"29",2003,29,4.77521999999999,3.46999999999997,1.70999999999998,0.811249999999973,1,0.75,0.86625,11.0568925193875,0.1283454126
"30",2003,30,4.43285999999999,2.34999999999997,0.0699999999999363,-1.43687500000004,1,0.79,0.89875,4.72842348177887,0.0501518682
"31",2003,31,6.71273999999999,-1.20000000000005,-3.33000000000004,-6.07375000000002,1,0.82,0.915625,4.76142294539024,0.00235983780000009
"32",2003,32,6.77429999999999,-4.93000000000006,-7.61000000000001,-12.4737500000001,1,0.63,0.879375,3.72744332475608,0.0021897593999999
"33",2003,33,7.39043999999999,-6.34000000000003,-9.28000000000003,-12.0081250000001,1,0.6,0.83875,6.5596561032991,0.000744092999999914
"34",2003,34,5.56361999999999,-1.88999999999999,-2.17000000000002,-6.41437500000001,0.98,0.52,0.84125,16.6113129864793,0.0537660342000001
"35",2003,35,4.81733999999999,-1.25999999999999,-3.25999999999999,-5.41000000000003,0.94,0.71,0.845,8.00790287563977,0.0391180320000001
"36",2003,36,5.09219999999999,-1.42000000000002,-2,-4.56812500000001,1,0.89,0.971875,11.7355904285644,0.2398530636
"37",2003,37,5.40377999999999,-1.31000000000006,-2.99000000000001,-4.16750000000002,1,0.72,0.885625,17.3502541622049,0.1511146584
"38",2003,38,5.39459999999999,-3.62,-3.94000000000005,-5.64500000000004,0.95,0.65,0.864375,12.528953534066,0.1653587244
"39",2003,39,7.41743999999999,-2.53000000000003,-4.69000000000005,-5.53687500000001,1,0.78,0.919375,6.25589218446577,0.0293172642000001
"40",2003,40,6.65657999999999,-0.900000000000034,-2.03000000000003,-3.55062500000003,1,0.83,0.935625,6.39665306233483,0.0274464018
"41",2003,41,7.87643999999999,-2.20000000000005,-4.45000000000005,-5.05187500000005,1,0.74,0.914375,4.84231729532071,0.00255117600000006
"42",2003,42,8.98127999999999,-4.53000000000003,-7.56000000000006,-9.86937500000005,1,0.86,0.95125,5.26716794821381,0.000510235200000012
"43",2003,43,9.37493999999999,-7.75999999999999,-10.83,-16.33625,1,0.56,0.83625,3.80513659219702,2.12597999999659e-05
"44",2003,44,9.20915999999999,-4.84000000000003,-7.95000000000005,-12.099375,1,0.46,0.76,2.30676744704545,0
"45",2003,45,8.78471999999999,-2.35000000000002,-4.12,-6.31125000000003,1,0.58,0.86375,5.92033605295034,0.00578266560000014
"46",2003,46,8.06813999999999,-1.85000000000002,-3.30000000000007,-4.83750000000003,1,0.79,0.89875,9.91006633245932,0.0814888134000003
"47",2003,47,9.45215999999999,-4.93000000000006,-6.96000000000004,-11.60375,1,0.81,0.925,7.38996951931257,0.0241723926000003
"48",2003,48,10.1952,-5.52000000000004,-6.84000000000003,-10.569375,0.98,0.66,0.840625,5.31990247469469,0.000807872399999904
"49",2003,49,9.23399999999999,-0.680000000000064,-1.88999999999999,-3.99500000000006,1,0.82,0.9575,8.25440782227218,0.0495778536
"50",2003,50,8.84519999999999,0.169999999999959,-0.470000000000027,-1.98312500000003,1,0.82,0.951875,9.09558407785268,0.0406912572000003
"51",2003,51,9.88091999999999,0.240000000000009,-0.840000000000032,-2.37562500000001,1,0.85,0.95875,6.24255749853138,0.0155834334000003
"52",2003,52,10.88748,0.129999999999995,-2.95000000000005,-4.18687499999999,1,0.86,0.9275,3.68455488917537,0.0051236118
"53",2003,53,11.23956,-0.200000000000045,-3.71000000000004,-11.229375,1,0.69,0.824375,2.37537353621039,0
"54",2003,54,11.36916,0.399999999999977,-7.18000000000006,-13.574375,0.88,0.68,0.78,0.623697242162337,8.50392000000482e-05
"55",2003,55,11.67912,0.620000000000005,-5.22000000000003,-9.34750000000003,0.91,0.7,0.798125,1.10673963052502,0
"56",2003,56,11.7288,0.669999999999959,-4.37,-7.734375,1,0.63,0.820625,2.74221931719143,0
"57",2003,57,11.96748,0.949999999999932,-1.06000000000006,-3.57125000000002,0.91,0.56,0.784375,5.49493701172995,0.00012755879999998
"58",2003,58,12.19806,0.5,-0.410000000000025,-2.53312500000004,0.97,0.57,0.829375,7.34164146606992,0.00442203840000002
